,text,id,author_id,created_at,edit_history_tweet_ids
0,Kyrie Irving's stats aren't worth the drama https://t.co/wa4yTpQ8rs,1593778112709685249,2303751216,2022-11-19T01:28:07.000Z,['1593778112709685249']
1,So you think you can explain the election https://t.co/wCeBisWjjn,1593772058219057153,2303751216,2022-11-19T01:04:04.000Z,['1593772058219057153']
2,The Riddler: How many turkey trotters can you pass? https://t.co/ppme70sHlL,1593767277291503616,2303751216,2022-11-19T00:45:04.000Z,['1593767277291503616']
3,"Brazil is the favorite and Messi is the star, but the 2022 World Cup is up for grabs. https://t.co/Xcd4cMqZcA",1593760739440869376,2303751216,2022-11-19T00:19:05.000Z,['1593760739440869376']
4,How our 2022 World Cup predictions work: https://t.co/xSD0Hb1VuA,1593752420999630848,2303751216,2022-11-18T23:46:02.000Z,['1593752420999630848']
5,Election denial is alive and well and still capable of rearing its ugly head in 2024. https://t.co/B9f7v2syEj,1593745883849433088,2303751216,2022-11-18T23:20:03.000Z,['1593745883849433088']
6,From @NateSilver538: Why DeSantis is a major threat to Trump’s reelection https://t.co/v8gehgCGe3,1593734050258173952,2303751216,2022-11-18T22:33:02.000Z,['1593734050258173952']
7,Is the United States in an era of high voter turnout? https://t.co/foyE4YTMd6,1593728268246687745,2303751216,2022-11-18T22:10:03.000Z,['1593728268246687745']
8,Here’s how everything shook out in the 2022 election — and the handful of races that are still up in the air: https://t.co/VmKbknZzRw,1593723815829307404,2303751216,2022-11-18T21:52:22.000Z,['1593723815829307404']
9,Our 2022 World Cup predictions: https://t.co/63JsgOQwor,1593720479570722817,2303751216,2022-11-18T21:39:06.000Z,['1593720479570722817']
10,"While Trump has kept a tight grip on the GOP since 2016, his support is no longer unanimous, especially among party elites. https://t.co/YWgoQyGLS2 https://t.co/tkRzIzMJzA",1593714443459993601,2303751216,2022-11-18T21:15:07.000Z,['1593714443459993601']
11,The start of the tournament comes with plenty of questions about who might lift soccer’s most prestigious trophy. https://t.co/W5vE3GLiH3,1593703621975281665,2303751216,2022-11-18T20:32:07.000Z,['1593703621975281665']
12,Tracking Trump's favorability with Americans: https://t.co/xlvJmrQe9t,1593700590202355714,2303751216,2022-11-18T20:20:04.000Z,['1593700590202355714']
13,"For a team that went 27-55 last season and hasn’t posted either a winning record or a positive scoring margin in five years, there’s a sense of growing excitement that hasn’t been felt since the glory days of yesteryear. https://t.co/T1Sgn23KJN",1593691803756417025,2303751216,2022-11-18T19:45:10.000Z,['1593691803756417025']
14,How the midterms made state governments bluer: https://t.co/2Srt4l3ad4 https://t.co/7iTZSdZCoY,1593691018213429255,2303751216,2022-11-18T19:42:02.000Z,['1593691018213429255']
15,How a data processing error changed our Deluxe forecast https://t.co/TnOXIvqRR3,1593686332232339456,2303751216,2022-11-18T19:23:25.000Z,['1593686332232339456']
16,Among @maggiekb1's tips for explaining election results: Don’t eat that hot take until dinner is done cooking https://t.co/friFLrASpz,1593685494285578241,2303751216,2022-11-18T19:20:05.000Z,['1593685494285578241']
